id,name,lat,lng
"7522.02","1 Ave & E 110 St",40.792327,-73.9383
"7596.11","1 Ave & E 118 St",40.797459,-73.934499
"5779.08","1 Ave & E 16 St",40.732219,-73.981656
"5854.09","1 Ave & E 18 St",40.733812,-73.980544
"6079.03","1 Ave & E 30 St",40.741444,-73.975361
"6230.02","1 Ave & E 38 St",40.746202,-73.971822
"6303.02","1 Ave & E 42 St",40.748757,-73.970127
"6379.03","1 Ave & E 44 St",40.75002,-73.969053
"5626.15","1 Ave & E 6 St",40.726331,-73.986169
"6753.08","1 Ave & E 62 St",40.761227,-73.96094
"6822.09","1 Ave & E 68 St",40.765005,-73.958185
"7286.05","1 Ave & E 94 St",40.781721,-73.94594
"4193.14","1 Pl & Clinton St",40.680959,-73.999057
"3946.07","1 St & 6 Ave",40.672784,-73.979826
"6157.04","10 Ave & W 14 St",40.741982,-74.008316
"8543.01","10 Ave & W 202 St",40.861282,-73.921418
"8579.09","10 Ave & W 204 St",40.862638,-73.92006
"8613.09","10 Ave & W 207 St",40.864632,-73.918598
"8679.03","10 Ave & W 215 St",40.869325,-73.915198
"6459.04","10 Ave & W 28 St",40.750664,-74.001768
"6535.05","10 Ave & W 34 St",40.75477,-73.999146
"3922.02","10 St & 2 Ave",40.671907,-73.993612
"3842.08","10 St & 5 Ave",40.668627,-73.987001
"3762.08","10 St & 7 Ave",40.666208,-73.981999
"6499.06","100 St & 37 Ave",40.75243,-73.86717
"6905.02","100 St & Humphreys St",40.76574,-73.87012
"6105.02","100 St & Lewis Ave",40.73988,-73.86012
"6618.02","100 St & Northern Blvd",40.75748,-73.86843
"1964.01","101 St & Fort Hamilton Pkwy",40.61124,-74.03282
"6576.07","102 St & 34 Ave",40.75584,-73.86621
"6337.09","103 St & 41 Ave",40.74875,-73.86285
"6062.03","103 St & Martense Ave",40.74046,-73.8565
"6692.03","104 St & 32 Ave",40.75951,-73.86491
"6457.06","104 St & 38 Ave",40.75138,-73.86242
"6651.01","104 St & Northern Blvd",40.75755,-73.86454
"6724.01","107 St & 32 Ave",40.75996,-73.86224
"6490.02","108 St & 39 Ave",40.75165,-73.85915
"6138.07","108 St & 52 Ave",40.743101,-73.854669
"3538.09","11 Ave & Prospect Ave",40.65629,-73.977335
"6425.04","11 Ave & W 27 St",40.751396,-74.005226
"6726.01","11 Ave & W 41 St",40.760301,-73.998842
"7059.01","11 Ave & W 59 St",40.771497,-73.99046
"6438.05","11 St & 43 Ave",40.75177,-73.94821
"6438.04","11 St & 43 Ave",40.751907,-73.947912
"6319.04","11 St & 44 Rd",40.749207,-73.949373
"6567.03","111 St & 37 Ave",40.75397,-73.85748
"6287.02","111 St & 49 Ave",40.74612,-73.85272
"6171.02","111 St & 53 Ave",40.74336,-73.85129
"6448.07","111 St & Roosevelt Ave",40.75147,-73.8557
"6683.01","112 St & Northern Blvd",40.75788,-73.85763
"6524.01","114 St & 39 Ave",40.7532,-73.853
"3056.05","12 Ave & 36 St",40.643546,-73.986418
"7886.02","12 Ave & W 125 St",40.818299,-73.960405
"6765.01","12 Ave & W 40 St",40.760875,-74.002777
"3882.01","12 St & 4 Ave",40.668603,-73.990439
"3771.06","14 St & 5 Ave",40.666287,-73.988951
"3731.11","14 St & 7 Ave",40.663779,-73.983968
"2868.03","15 Ave & 37 St",40.63899,-73.98074
"3811.05","16 St & 4 Ave",40.666197,-73.992466
"3699.07","17 St & 5 Ave",40.663493,-73.991007
"7062.07","18 St & 27 Ave",40.772768,-73.927436
"7186.15","19 St & 24 Ave",40.777455,-73.92254
"3547.04","19 St & 8 Ave",40.658489,-73.985543
"190 Morgan","190 Morgan",40.711072,-73.932096
"3532.02","2 Ave & 32 St",40.659176,-74.006584
"3460.01","2 Ave & 36 St",40.657089,-74.008702
"3460.06","2 Ave & 37 St",40.65624,-74.00933
"7622.12","2 Ave & E 122 St",40.800672,-73.9349
"7648.16","2 Ave & E 125 St",40.802554,-73.933509
"6122.09","2 Ave & E 29 St",40.741724,-73.978093
"6197.11","2 Ave & E 31 St",40.74299,-73.97711
"6925.09","2 Ave & E 72 St",40.768762,-73.958408
"7338.02","2 Ave & E 96 St",40.783964,-73.947167
"7386.10","2 Ave & E 99 St",40.786259,-73.945526
"7386.1","2 Ave & E 99 St",40.786259,-73.945526
"7256.01","20 Ave & 31 St",40.780013,-73.906676
"7196.04","20 Ave & 38 St",40.777112,-73.902382
"7163.07","20 Ave & 42 St",40.775415,-73.900063
"7066.01","20 Ave & 48 St",40.772899,-73.896849
"7391.02","20 Ave & Shore Blvd",40.785994,-73.915098
"7060.02","21 Ave & 80 St",40.770888,-73.889914
"7284.01","21 Ave & Crescent St",40.780478,-73.912212
"7342.01","21 Ave & Shore Blvd",40.783956,-73.916894
"7363.03","21 St & 20 Ave",40.783936,-73.912731
"7314.03","21 St & 21 Ave",40.782465,-73.914527
"7210.07","21 St & 23 Ave",40.778557,-73.919046
"6865.03","21 St & 31 Dr",40.7659,-73.930819
"6729.02","21 St & 36 Ave",40.760185,-73.936273
"6656.05","21 St & 38 Ave",40.757631,-73.939122
"3668.04","21 St & 4 Ave",40.662584,-73.995554
"6395.01","21 St & 43 Ave",40.750525,-73.945948
"7126.01","21 St & Hoyt Ave S",40.774645,-73.923706
"6471.02","21 St & Queens Plaza North",40.75326,-73.943358
"7178.02","23 Ave & 27 St",40.776165,-73.915318
"7082.08","23 Ave & 31 St",40.774233,-73.912749
"6921.04","23 Ave & 83 St",40.76646,-73.88674
"7082.14","23 Rd & 31 St",40.773368,-73.913826
"3707.01","23 St & 3 Ave",40.662611,-73.998623
"6929.01","23 St & 31 Ave",40.76664,-73.92866
"7152.10","24 Ave & 26 St",40.774591,-73.918544
"7152.1","24 Ave & 26 St",40.774591,-73.918544
"7119.04","24 Ave & 29 St",40.7729,-73.916142
"6885.01","24 Ave & 87 St",40.7654,-73.88256
"6913.03","24 Ave & 92 St",40.76589,-73.87789
"6581.14","24 St & 38 Ave",40.756351,-73.936515
"6505.01","24 St & 41 Ave",40.752708,-73.939741
"6505.01","24 St & 41 Ave (original)",40.752709,-73.939741
"3555.04","24 St & 5 Ave",40.659555,-73.995068
"6943.07","25 Ave & 41 St",40.767666,-73.910963
"6817.15","25 Ave & 85 St",40.76328,-73.88404
"6877.06","25 Ave & 96 St",40.76447,-73.87369
"7165.01","26 Ave & 2 St",40.776844,-73.934634
"7132.08","27 Ave & 3 St",40.77485,-73.9342
"7098.05","27 Ave & 9 St",40.773983,-73.930913
"6310.06","27 St & Hunter St",40.7485,-73.941275
"6951.03","28 Ave & 35 St",40.7671,-73.916986
"6879.04","28 Ave & 44 St",40.764089,-73.910651
"6614.01","28 St & 36 Ave",40.757186,-73.932719
"6462.19","28 St & 41 Ave",40.751047,-73.93797
"6462.09","29 St & 40 Ave",40.75217,-73.93588
"3523.06","29 St & 5 Ave",40.656986,-73.998194
"6194.06","29 St & Skillman Ave",40.744831,-73.938411
"3850.03","3 Ave & 14 St",40.668546,-73.993333
"3779.02","3 Ave & 17 St",40.666168,-73.995549
"2578.16","3 Ave & 77 St",40.62991,-74.02834
"2497.07","3 Ave & 81 St",40.627,-74.02948
"2231.10","3 Ave & 92 St",40.61946,-74.03261
"4143.04","3 Ave & Carroll St",40.677027,-73.9865
"7414.17","3 Ave & E 100 St",40.787721,-73.947283
"7504.19","3 Ave & E 109 St",40.79338,-73.94329
"7543.15","3 Ave & E 112 St",40.795508,-73.941606
"7974.01","3 Ave & E 163 St",40.823872,-73.908699
"8103.05","3 Ave & E 169 St",40.832678,-73.905158
"8137.06","3 Ave & E 170 St",40.834857,-73.903743
"8205.05","3 Ave & E 172 St",40.839586,-73.900277
"8241.07","3 Ave & E 174 St",40.84224,-73.8985
"8526.03","3 Ave & E 189 St",40.85985,-73.89135
"6830.04","3 Ave & E 62 St",40.76313,-73.96527
"6960.12","3 Ave & E 71 St",40.76879,-73.9614
"7028.04","3 Ave & E 72 St",40.769943,-73.960607
"7154.10","3 Ave & E 82 St",40.775744,-73.956375
"7154.1","3 Ave & E 82 St",40.775744,-73.956375
"8315.03","3 Ave & E Tremont Ave",40.84649,-73.89616
"8012.04","3 Ave & Franklin Ave",40.82696,-73.907451
"4437.01","3 Ave & Schermerhorn St",40.686832,-73.979677
"2883.03","3 Ave & Wakeman Pl",40.638246,-74.024714
"4028.03","3 St & 3 Ave",40.675071,-73.987752
"3905.15","3 St & 7 Ave",40.670384,-73.978397
"4110.10","3 St & Hoyt St",40.677729,-73.993641
"4110.1","3 St & Hoyt St",40.677729,-73.993641
"3865.05","3 St & Prospect Park West",40.668132,-73.973638
"7034.09","30 Ave & 12 St",40.771717,-73.931593
"6996.01","30 Ave & 21 St",40.770374,-73.928608
"6812.06","30 Ave & 41 St",40.763422,-73.914142
"6774.13","30 Ave & 47 St",40.761294,-73.909562
